本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
一九六二年		yi jiu liu e nien	yi1 jiu3 liu4 er4 nian2	赣			268		
一九六五年		yi jiu liu ng nien	yi1 jiu3 liu4 wu3 nian2	赣			20		
一九六八年		yi jiu liu ba nien	yi1 jiu3 liu4 ba1 nian2	赣			12		
一九六八年		yi jiu liu bai nien	yi1 jiu3 liu4 ba1 nian2	赣			12		
一九六六年		yi jiu liu liu nien	yi1 jiu3 liu4 liu4 nian2	赣			21		
一九六四年		yi jiu liu su nien	yi1 jiu3 liu4 si4 nian2	赣			12		
一九四		yi jiu su	yi1 jiu3 si4	赣			13		
一九四一年		yi jiu su yi nien	yi1 jiu3 si4 yi1 nian2	赣			10		
一九四七年		yi jiu su qi nien	yi1 jiu3 si4 qi1 nian2	赣			27		
一九四三年		yi jiu su san nien	yi1 jiu3 si4 san1 nian2	赣			21		
一九四九年		yi jiu su jiu nien	yi1 jiu3 si4 jiu3 nian2	赣			107		
一九四二年		yi jiu su e nien	yi1 jiu3 si4 er4 nian2	赣			25		
一九四五年		yi jiu su ng nien	yi1 jiu3 si4 wu3 nian2	赣			19		
一九四八年		yi jiu su ba nien	yi1 jiu3 si4 ba1 nian2	赣			24		
一九四八年		yi jiu su bai nien	yi1 jiu3 si4 ba1 nian2	赣			24		
一九四六年		yi jiu su liu nien	yi1 jiu3 si4 liu4 nian2	赣			20		
一九四四年		yi jiu su su nien	yi1 jiu3 si4 si4 nian2	赣			20		
一乡		yi xiong	yi1 xiang1	赣			13		
一了百了		yi li ba li	yi1 liao3 bai3 liao3	赣			61		
一事		yi su	yi1 shi4	赣			893		
